Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
ПЫЛИН-ПАТЕНТ Йошкар-Ола ;trademarkpatent21.ru;pylin-patent@mail.ru;79 093 681 526;ул. Комсомольская, 125, оф. 35;Пылин Владимир Павлович;Чебоксары  
ЮРИДИЧЕСКАЯ АССОЦИАЦИЯ ;uristo.rf   424000007   юристо.рф;1@zakon12.ru;79024300101;пр. Гагарина, д. 2, оф. 238 (пл. Ленина);Мосунов Владимир Александрович;Йошкар-Ола  
"Центр правовых услуг ""Аванта"" ";avanta-pravo.ru;avanta-pravo@mail.ru;74 993 907 810;г. Москва, ул. Воронцовская, 15/10 стр. 5 оф. 204;Ломакин Дмитрий Михайлович;Москва
"ООО ""ОК+"" ";www.okplus19.ru;okplus19@gmail.com;89016005166;ул. Щетинкина, д.7;Васильев Н.Е.;Абакан
Центр Возврата Денег ;ksoin1991   cvd.ru;kaluga@cvd.ru;84842202216;г.Калуга ул.Тульская д.38 офис 315;Соин Николай Юрьевич;Калуга  
Юридическая Компания ИНЭКС ;https://vk.com/inexufa;inde-ufa@mail.ru;89191522000;450022 Уфа, Менделеева 177;Ващук Ксения Юрьевна;Уфа
ООО ЮРиАЛ ;;;;;;Калуга  
Ступичев и партнеры ;;;;;;Москва
"Юридическая группа ""АТЛАНТ"" ";;;;;;Москва
Юридическое агентство Тамерлан ;tamerlan-hotline   http://tamerlan.spb.ru;hot-line@tamerlan.spb.ru;8 124 481 168;Санкт-Петербург, Средний проспект В.О., дом 36/40, каб. 747;Егоров Артем Сергеевич;Санкт-Петербург
"Юр.фирма ""Юрист поможет!"" ";yuristpomoget   www.yurist.bryansk.in;chtanton@yandex.ru;79803001335;Брянск, ул.Карла Либкнехта, 8.;Мякишев Дмитрий Александрович;Брянск
Юринтегро ;http://yurintegro.ru;;84 957 222 643;"127015, г. Москва, ул. Складочная, д. 1, стр. 1, Бизнес-парк ""СТАНКОЛИТ"", вход 1, 2-ой этаж, офис 5";Хадеев Роман Васылович;Москва
"""ДИАЛОГ"" юридическое агентство ";http://dialogkhv.nethouse.ru;209181@list.ru;4 212 209 181;Хабаровск, улица Постышева, 23, офис 1.;Вихрова Алина Владимировна;Хабаровск  
"ООО ""Бизнес Сервис"" ";;bs165@mail.ru;3 832 396 085;город Новосибирск, улица Немировича-Данченко, дом 165, офис 417;;Новосибирск  
ООО Юридическая коллегия Краснодарского края ;;;;;;Краснодар  
"ООО ""ЮрСтандарт"" ";http://glsrf.ru/;gls.ok@mail.ru;88332211830;Киров, Октябрьский проспект 120;Бугров Эдуард Николаевич;Киров
Правовое обеспечение бизнеса ;http://ufneva.ru/;wera831@mail.ru;8129400135;ул. Шкапина, 4, оф. 508;Медведчук Ирина Владимировна;Санкт-Петербург
Аргументъ ;http://argumentkazan.ru;sales@argumentkazan.ru;+7 843 290–48–79;Чистопольская ул., 20Б г. Казань, Респ. Татарстан, 420124;Аношкина Елена Викторовна;Казань
"Юридическое Агентство ""Априори"" ";www.apriori-pravo.ru;apriori_layer@mail.ru;"391 2362457; +79233543934";"660012 г. Красноярск, ул. А. Матросова,2 ""А"", офис 4";Жиркова С.В.;Красноярск  
"""Sila prava"" ";;info@sila-prava66.ru;79326079666;620075, г. Екатеринбург, ул. Первомайская, д. 56, оф. 233А;Закирьянов Виталий Владикович;Екатеринбург  
Юридическое Бюро ПРО ИСКИ ;https://proiski.com/;ub@proiski.com;73812495969;г. Омск, пр-кт К. Маркса, 29А, офис №9;Токарев Дмитрий Борисович;Омск  
Право на право ;;;;;;Абакан
"ООО ""ЮКЦ ""Апелляция"" ";;;367435;г.Нижнекамск, ул.Студенческая, д.6;;Набережные Челны  
Альтернативное решение ;;Alter/Reshenie@yandex.ru;89662403624;"г.Казань ул.Ташаяк, 2 ""а""";Серазетдинов Ленар Ринатович;Казань
"ООО ""ААА+"" ";;kypacob@sibmail.com;89234067775;634034, г. Томск, пр. Кирова, 20-402;Кобяшова Юлия Владимировна;Томск  
"ООО ""ЮА""Жилсовет"" ";urist-zhilsovet.ru;zhilsovet@inbox.ru;89004700202;г. Пенза;Никитина Оксана Викторовна;Пенза  
СемейнаяСпециализированнаяКоллегияАдвокатов ;;;;;;Москва
Невада-Центр ;nevadadom.com   http://nevadadom.com/;2400707@nevadadom.com;8 122 400 707;СПб, Нарвский пр., д. 22, офис 225;Сафарова Светлана Георгиевна;Санкт-Петербург
"ООО ""Советник"" ";www.sovetnik-nn.ru;sovetnik.ooo@yandex.ru;8 314 376 205;г. Н.Новгород, ул. М.Горького, д. 65Б;Кужелева Наталья Вячеславовна;Нижний Новгород  
Татьяна Дурнова ;;;;;;Красноярск  
"""Бизнес Юрист"" ";https://businessurist.ru/;;79658925337;г. Санкт-Петербург, наб. р. Мойки, д. 58 А, оф. 616;;Санкт-Петербург
"""PARTNER"" LTD ";http://jurist38.ru/;Ltdpartner38@ya.ru;9148777095;г. Иркутск, ул. Гидростроителей, д. 15;Бондарь Алексей Леонидович;Иркутск  
ArtLex ;www.artlex-law.ru;;;;Момотов Алексей Сергеевич;Ростов-на-Дону  
"ООО ""АКЦЕПТ"" ";;;89278007070;г. Ульяновск, пр-т Ленинского Комсомола, д.41, офис 420, 4-й этаж;Фролов Алексей Валерьевич;Ульяновск  
"АНО ""Центр правовых экспертиз"" ";;prav-center1@mail.ru;8391 2913161, 2913166;"Ул. Менжинского, 14""Б""";Желудкова Ирина Витальевна;Красноярск  
Юрист по недвижимости и земле Анна Степанова ;https://juristpozemle.ru;info@juristpozemle.ru;79215557007;Санкт-Петербург, Владимирский пр. 23, 3 этаж, офис 1;Степанова Анна Вячеславовна;Санкт-Петербург
"""Мой Консультант"" ";;admin@my-consultant.ru;79300614941;Белгород, ул.Князя Трубецкого,57;Павлова Юлия Валерьевна;Белгород  
""" Большое дело "" ";https://bolshoedelo.com/;info@bolshoedelo.com;89 200 806 222;г. Орел, ул. Максима Горького, д. 47;Овчаров Олег Сергеевич;Орёл  
Адвокат в Коломне ;;;;;;Коломна  
Бюро доверие ;https://burodoverie.ru/;burodoverie@mail.ru;78 612 445 474;Постовая, 23;;Краснодар  
"Юридический онлайн журнал ""Мои алименты"" ";oalimentah.ru;;;;;Москва
А-Лекс ;;;89130008854;г. Искитим ул. Советская 252, к.1, оф. 4;Александров А.Б.;Новосибирск  
"ООО ""АСПЕКТ"" ";;1555@bk.ru;79039001975;г. Новосибирск, ул. Вокзальная магистраль, д. 16, офис 215;;Новосибирск  
Филатов Групп ;https://advokat-ekaterinburga.ru/;;83 433 630 309;;;Екатеринбург  
"""БизнесЮрист"" ";evgen-8713   www.jursirius.ru;;89205670888;г. Белгород, Народный б-р, д.57;Белоусов Евгений Сергеевич;Белгород  
Центролекс ;;;89216125641;ул.Пролетарская,90/92, офис 313;Чернокоз Марина Григорьевна;Калининград  
"""КОНФИДЕНТ"" ";confidant.com.ru;asg@confidant.com.ru;+7 978 805 38 54;Республика Крым, г. Симферополь;;Симферополь  
Юридическое бюро «Форпост» ;https://forpost-23.ru;info@forpost-23.ru;78 619 452 945;г. Краснодар, ул. Орджоникидзе 62, эт. 3, оф.35;;Краснодар  
Юридический кабинет ;www.jur55.ru;imperia@jur55.ru;294248;Лермонтова 127/1 офис 4;;Омск  
"ООО ""АГЕНТСТВО ФИНАНСОВОЙ БЕЗОПАСНОСТИ"" ";;afb26@bk.ru;79624459585;355045, Ставрополь, ул. Пирогова, 42|1;Михаил Владимирович;Ставрополь  
Юридический омбудсмен ;https://ombudsman66.com;info@ombudsman66.com;73 432 243 311;г. Екатеринбург ул. Радищева д. 33, офис 11, этаж 3;;Екатеринбург  
"МКА ""Кузьмин и партнеры"" ";www.pravo-k.ru;mail@pravo-k.ru;74955072304;Барабанный переулок д4;Кузьмин Михаил Анатольевич;Москва
Адвокаты чести ;;;;;;Санкт-Петербург
Ваше Дело ;вашедело61.рф;yur.delo161@gmail.com;89001220144;г. Ростов-на-Дону, ул. Катаева, д. 293, оф. 221;;Ростов-на-Дону  
"ООО ""ЮК ""Право на защиту"" ";http://pravonazashity.ru/;llawyer@rambler.ru;3 912 513 412;г.Красноярск, ул. Телевизорная 1, оф. 304;Штомпель Людмила Борисовна;Красноярск  
Убеждение и Право ;;;;;;Ставрополь  
"Коллегия адвокатов ""ДВ-адвокат"" ";http://www.dv-advokat.ru;AdvocatSpravcov@yandex.ru;89 141 671 717;Г. Хабаровск, ул. Пушкина, 54, офис 510;Юрченко Евгений Николаевич ;Хабаровск  
Юридический центр ВАШЕ ПРАВО ;https://pravo-nao.ru/;info@pravo-nao.ru;89115736224;Нарьян-Мар, ул. Ленина, дом 31, вход со двора;Свиридов Сергей Анатольевич;
"""Перспектива"" ";;;;;;Ростов-на-Дону  
"Правовой центр ""ВАШ ЮРИСТ"" ";ул. В.Максимовой 19;partner-2012@bk.ru;89059885033;ул. В.Максимовой 19 Бийск;Соболева Оксана Сергеевна;Бийск  
Ок Банкрот- Киров ;;;;;;Киров
Центр Международного сотрудничества ;registracia.spb.ru;9842400@mail.ru;78 129 842 400;Санкт-Петербург, ул. Белы Куна, д. 3, оф. 823;;Санкт-Петербург
НЕВА-АКТИВ ;www.neva-aktiv.ru;info@neva-aktiv.ru;78 129 811 215;Санкт-Петербург, ул. Стародеревенская, д. 36, лит. А, офис 47;Цветков Александр Николаевич;Санкт-Петербург
"Коллегия адвокатов ""LEX"" ";;;;;;Самара  
Профессиональные Юристы ;;;;;;Томск  
"ЮКА ""ЛЕВИАН"" ";ukalevian.ru;levian2007@yandex.ru;2137297;Екатеринбург, ул. Куйбышева, дом 38, офис 232;Чермянинов Андрей Викторович;Екатеринбург  
ООО «Правовой Эксперт» ;правовойэксперт.рф;;;;Годельман Марина Валерьевна;Новокузнецк  
Альфа-Легал ;Anna_banko   http://alfa-legal.ru/;;;;Банько Анна Александровна ;Санкт-Петербург
ARMALEX ;armalex.ru;info@armalex.ru;78129500577;Московский пр 183-185;Бабкин Алексей Александрович ;Санкт-Петербург
"ООО ""Правовой стандарт"" ";www.pravo62.ru;info@pravo62.ru;"84912520505; 89521264444;";390000, г. Рязань, ул. Петрова 10 Г, оф-202;;Рязань  
"ООО ""Верона"" ";;;636782;;;Петрозаводск  
ЦЕНТР ЮРИДИЧЕСКОЙ ПОМОЩИ ;;;78 332 752 410;г. Киров, ул. Карла Либкнехта, д. 55, каб. 104;;Киров
Грачев и партнеры ;yurist-kvartira.ru;info@yurist-kvartira.ru;74957257875;Подмосковный бульвар, д.1;Грачев Николай Александрович;Москва
"ООО ""РАЗУМНОЕ"" ";razumnoe40.com;boss@razumnoe40.ru;89056432983;г. Калуга, ул. 1-я Загородная, д.2;Демченко Регина Николаевна;Калуга  
Регион Права ;evgenkarpunin   regionprava.ru;evgeniy@regionprava.ru;78443555445;ул. Космонавтов, 14, офис 3, второй этаж (вход справа со стороны парковки);Карпунин Евгений Анатольевич;Волжский  
Юридическая Помощь Населению ;http://dat.spb.ru/;info@datspb.ru;9533181;Санкт-Петербург, ул. Белоостровская, д. 8, 4 эт., оф. 1409;Юшкова Татьяна Александровна;Санкт-Петербург
"ООО ""АА-Деловые услуги"" ";;;;;;Курган  
ООО «Финансовый Сервис. Лизинг» ;;;;;;Москва
"Кузбасский центр ""ЮристЪ"" ";www.kuzlaw.ru;monolitnk_1@mail.ru;"3843  602728; +7 903 994 4224";г. Новокузнецк ул.Сибиряков-Гвардейцев 2 оф. 306;Иванов Д.В.;Новокузнецк  
Амурская независимая экспертиза ;solowp   http://arori.ru;swp-07@mail.ru;79622850974;г.. Благовещенск;Соловьев В.П.;
LAWYERS INC. ;https://urist62.ru/;info@jurexpertcenter.ru;74912990802;Первомайский проспект д. 33 Б, офис 206;Кондратьев Алекандр Владимирович;Рязань  
"ООО ""Юрист"" ";www.yrist25.ru;LC@yrist25.ru;89242456526;г.Находка, ул.Школьная, д.1А, оф.412;Пика Яна Фёдоровна;Находка  
Центр Правовых Услуг ООО ;центрправа.рф;centrpravuslug@mail.ru;89617440007;г. Абакан, ул. Чертыгашева, 63А, оф. 2 (Правое крыло от Промсвязьбанка);Гусына Александр Васильевич;Абакан
kmk ;;;;;;Москва
"ООО ""УРАЛ-ГАРАНТ"" ";593743920;ural-garant2011@yandex.ru;89630154969;г.Пермь,ул.Рабоче-крестьянская,6;Ракшин Денис Сергеевич;Пермь  
"ООО ""ГПК ""ОКО"""" ";http://gpk-oko.jimdo.com/;gpk.oko.nn@mail.ru;88313346612;Дзержинск ул. Терешковой 20 офис 2;Полюков А.А.;Нижний Новгород  
ЮрСтандартПраво ;;;;;;Балаково
"Юридический центр ""Чернышов и Партнеры"" ";sawur1970   https://chernyshovpravo.ru;delo@chernyshovpravo.ru;89103537217;г. Липецк ул. 50 лет НЛМК 11-09;Чернышов Сергей Петрович;Липецк  
adlawyer ;;;;;;Москва
СтоСоток ;https://fermerlegal.ru;info@fermerlegal.ru;"+7 953 9706717 ; +7 4872 580401  ; +7 910 5836463";300034 — Тула, ул. Демонстрации, д. 28-а, этаж 3.;;Тула  
Праволюкс ;https://pravoluxe.ru;;;;;Москва
"""Защита"" ";http://www.zashita52.ru/;ukzashita@yandex.ru;78318285555;город Нижний Новгород, ул.Большая Печерская, д. 24, офис 405;Кяримов Эльвир Иршатович;Нижний Новгород  
Территория Безопасности ;http://rio124.ru/;info@rio124.ru;73912193218;Красноярский рабочий, 35;Федянин Александр Александрович;Красноярск  
Право и Закон ;http://urist-besplatno.ru;;;;;Тула  
«Дельта-С» ;https://delta-c.ru;g6521@bk.ru;+7 900 483 80 40;ул. Красина, дом 1;Гаркавцев Вячеслав Николаевич;Орёл  
ООО «Юридическая контора «ЮРИСТ» ;www.urist-office.com;urist-office@mail.ru;4 012 752 737;236006, г. Калининград, ул. Барнаульская, д.2  (ТЦ «Барнаульский»),  офис 313;Сорокотяга Олег Станиславович;Калининград  
Деметриос ;https://www.zakondms.ru/;;88 452 338 121;г.Саратов, ул.Чернышевского 153 оф 701;Рвачева Екатерина Андреевна;Саратов  
Юрайт ;http://yrait.ru;info@yrait.ru;+7 343 289 00 47;уральская 59;Крохалев Сергей Владимирович;Екатеринбург  
"ООО ""АПР ""ВИКОН"" ";aprvicon;aprvicon@yandex.ru;228260, 793781;ул. Лермонтова, дом 11/5, офис 221;Ермаков Дмитрий Сергеевич;Сургут  
ПРЕМЬЕР ГРУПП  ;;;;;;Санкт-Петербург
ПАКТУМ Юридическая Фирма ;pactum-rules.ru;pactum-rules@yandex.ru;79137670307;г Новосибирск, ул Ленина, д 21, оф 228;Авагян Андраник Самвелович;Новосибирск  
Компас Земли ;kozlovskey_roman   www.compasslaw.ru;rk@compasslaw.ru;79672287668;Россия, 119361, Москва, ул. Вучетича, дом 4;Козловский Роман Михайлович;Москва
"ООО ""Габетти-Недвижимость"" ";;;;;;Севастополь  
Ривьера ;www.rivera-nsk.ru;urist_rivera@mail.ru;73833751961;г.Новосибирск, ул. Немировича-данченко 122, офис 337;;Новосибирск  
Хелп Консалтинг ;https://help-ddu.ru/;info@help-ddu.ru;+7 495 150?54?83;Москва, улица Сущёвский Вал, 5, стр. 2;Лихачев Андрей Анатольевич;Москва
Фридман, Гирин и партнёры ;;;;;;Краснодар  
СЗЦЮП ;http://www.s-zcup.com/;s-zcup@mail.ru;89517472000;г. Вологда, ул.Мальцева, д.5, офис 0102;Артюшичева Анастасия Вадимовна;Вологда  
Вотум ;votum-spb.ru;votum-spb@mail.ru;8123088814;пр. Тореза 102/4;Ледовских С.А.;Санкт-Петербург
"ЮК ""Судебные Юристы"" ";https://arb-urist.ru/;office@arb-urist.ru;8 124 085 273;Санкт-Петербург, Пискаревский пр., д.25;;Санкт-Петербург
ВашЮрист | Банкротство граждан ;www.vashjurist31.ru;;89192203706,  89205809917;г. Белгород, ул. Студенческая, 17-б;Яшин Ярослав Владимирович;Белгород  
"ООО ""Агентство ЛЕКС"" ";;;89125169534;г. Нефтеюганск, 13 мкрн., дом 17, пом. 2;;Нефтеюганск  
Уральский Региональный Консультационный Центр ;;krotkovagalina@yandex.ru;89000626697;г. Челябинск, ул. Молодогвардейцев, д. 10Г;Кроткова Галина Ивановна;Челябинск  
"ООО ОО ""Юридический Центр"" ";http://juridcentr.ru/;j692280@ya.ru;692280;г. Киров, ул. Воровского д.119 офис 322;Шушаков Юрий Иванович;Киров
"""ПРЕЦЕДЕНТ"" ";http://pretsedent-ufa.ru;pretsedent-ufa@yandex.ru;2669733;г. Уфа ул. Революционная, д. 99;Сорокин Вадим Игоревич;Уфа
Гильдия Профессиональных Юристов ;;;;;;Москва
"ООО ""ЯРОВИТ"" ";;;89 039 578 412;;Полянских Виктор Васильевич;Бийск  
"ООО ""Юридическое агентство ""ЛЕКС"" ";;;;;;Волгоград 
Агентство правового обеспечения ;;;89128804090;г. Пермь, ул. Клары Цеткин, 14, оф. 201;Залазаева Наталья Дмитриевна;Пермь  
Юридическая помощь ;;;;;Юма Геннадий Валерьевич;Абакан
"ООО ""Консалтинговая группа ""ДелФин"" ";;info@delfin43.ru;78 332 770 242;г. Киров, ул. Ленина, д. 85, офис 1;Загороднова Ольга Михайловна;Киров
Юридический центр Цивилист ;;;;;;Санкт-Петербург
Felicity Law ;;;;;;Москва
"Центр Правовой Защиты ""Альянс"" ";;cpzalliance@mail.ru;89375550040;г. Волгоград;;Волгоград 
"""Аспект"" ";ваш-юрист74.рф;yruslugi74@yandex.ru;83512239390, 89191239390;г. Челябинск, Свердловский пр, 21а, оф. 24;;Челябинск  
Абсолют-Право ;www.absolut-pravo.ru;581200@rambler.ru;83842521667;г. Кемерово, б-р Пионерский, 14;Родина Надежда Викторовна;Кемерово  
ДЕ-ЮРЕ 58 ;;;;;;Пенза  
Столица Консалтинг ;https://stolica.legal;order@stolica.legal;74951353055;г.Москва, ул.Дубининская, д.57, с.2;Кузнецов Роман Александрович;Москва
Юридический центр Аликина В.А. ;;alikin.va@mail.ru;89001975899;г. Екатеринбург, ул. 8 Марта, д. 5, оф. 215;Аликин Владимир Александрович;Екатеринбург  
"ООО ""КГ ""Экономика и право"" ";www.kg-ep.ru;info@kg-ep.ru;73 422 432 209;614068, г. Пермь, ул. Пермская, д. 224;Кожин Денис Викторович;Пермь  
"Юридическое Агентство ""Jurplace"" ";https://vk.com/jurplace;jurplace@mail.ru;1,54022E+11;город Рязань, площадь Соборная, дом 2;Орлов Вадим Георгиевич;Рязань  
"""АрсЮрис"" ";http://www.ars72.ru;info@ars72.ru;73 452 905 562;г. Тюмень, ул. Мельникайте, 123а, оф. 317;Михайлов Виктор Евгеньевич;Тюмень  
"PG &amp; PARTNERS ";;;;;;Санкт-Петербург
Юридический центр ГРАД ;http://gradmoscow.ru;gradmoscow@yandex.ru;84 952 298 123;125047, г. Москва, ул. 4-ая Тверская-Ямская, д. 31;;Москва
Ваш юрист ;http://юристы-сочи.рф/;yuristy-sochi@mail.ru;78622344466;г. Сочи, ул.Воровского 35 А, офис № 16;Версалова Анастасия Арутовна;Сочи  
"ЮК ""Согласие"" ";;;;;;
"ООО ""Зеленый Свет"" ";www.gl121.ru;green_light_21@list.ru;386432, 509350;г. Чебоксары, ул. Калинина, д. 66, оф. 213;Забалуева Надежда Александровна;Чебоксары  
Национальная Юридическая Сеть ;https://www.legal-network.ru/;info@legal-network.ru;8 800 200 14 32;115035, Москва, ул. Большая Ордынка, дом 10, стр. 1;Витлинский Павел Валерьевич;Москва
Адвокат А. Горичев и партнеры ;advokat-gorichev.ru;advokat_spb@mail.ru;78129545509;194156,г. Санкт-Петербург, пр. Энгельса 28;Горичев Алексей Юрьевич;Санкт-Петербург
Коллегия Хабнера ;http://khabner.ru/;khabner@yandex.ru;73452520420;625035, г. Тюмень, ул. Республики 160, оф. 106;Хабнер Евгений Владиславович;Тюмень  
Право в МСК ;;;;;;Москва
ЮрИнфоКонсалт ;;;;;;Псков  
"Юридическая фирма ""Фемида"" ";;vo-035@yandex.ru;89114475555;"г. Вологда, ул. Марии Ульяновой, д.3 ; г. Сокол, ул. Набережная Свободы, д.69";Самарский Максим Николаевич;Вологда  
Олимп ;www.olymp-law.ru;info@olymp-law.ru;88005557959;г.Краснодар, ул.Дальняя 27, офис 302;;Краснодар  
"ООО ""ИнвестСтрой Недвижимость"" ";;isnkrasnodar@yandex.ru;79604758454;ул.Очаковская, д.3, оф.№1;Мирзоян Давид Робертович;Краснодар  
Юридические услуги в Томске ;http://sem-urist.tom.ru/;le@sem-urist.tom.ru;320991;пр-т Ленина 82, стр 4;Евстратов Лаврентий Юрьевич;Томск  
"ЮК ""ФЕДЕРАЛ"" ";federal67.ru;federal.67@yandex.ru;74812676738;г. Смоленск, улица Нормандии-Неман, 35;Ткачук Алексей;Смоленск  
