Название;Сайт;Почта;Номер телефона;Адрес
"ООО ""Автодор""";;office@avtodor-sz.ru;(812) 363-09-38;197198, Санкт-Петербург, Большой пр. ПС, д.18, лит. А, пом. 16-Н
http://www.npp-skin.ru/;http://www.npp-skin.ru/;;;
"СМУП ""Городской кадастровый и проектный центр""";;gkp@sbor.net;(81369) 2-90-46;188544, Россия, Ленинградская обл., г.Сосновый Бор, ул.Ленинградская, д.60, а\я 29\6
"ООО ""УНИВЕРСАЛ-ПЛЮС""";;UP93@mail.ru;7(812)941-83-63;СПб, пр. Космонавтов, д.25 оф.14
"ООО ""Землеустройство и кадастр""";http://zemlekadastr.ru/;aa@zemlekadastr.ru;8 (812) 646-68-81;194044, Санкт-Петербург, Б. Сампсониевский пр., д.29, офис 499
"ЗАО ""Проектное агенство"" ";http://www.zaoprag.ru/;info@zaoprag.ru ;331-06-04;Санкт-Петербург, ул. Севастьянова д. 14 лит. А
ООО «Росземстройпроект»;;roszem81@mail.ru;+7 (950) 651-55-77;620144, Свердловская обл., г.Екатеринбург,  ул.Фурманова, д.109, офис 302
"МП ""ГИС-Центр"" г. Кириши";;Avtodor-nw@mail.ru;(812) 363-09-38;187110  г. Кириши, Ленинградской обл., ул. Советская 19
ООО «СкайЛайн-Гео»;;;+7(812) 332-82-06;199178, Санкт-Петербург г, 18-я В.О. линия, дом № 29, литерЗ, офис А315
"ООО ""Ленспецгеодезия""";;lsg-ivanov@yandex.ru;8921 337 57 82;190121, Санкт-Петербург, ул. Садовая, д.92, лит.А, пом.4Н
"ООО ""НПП СКИН""";;dss@nppskin.spb.ru;(812) 718-24-85;192019, г. Санкт-Петербург, ул. Глазурная,   д. 8/10, лит. А, пом.114
"ООО ТГК ""АТЛАНТ""";;lotkov@mail.ru;(812) 380-79-00;188300. Ленинградская область, г. Гатчина, ул. Урицкого, д. 9-б, 3 этаж
"ЗАО ""ЭнергоПроект""";http://energoproekt.com/;ep@energoproekt.com; 7 (812) 601-0268;196084, Россия, Санкт-Петербург, ул. Цветочная, д.7
"ООО ""ТехноТерра""";http://tterra.ru/;top@tterra.ru; 7 (812) 318-58-58 доб. 100;Санкт-Петербург, наб. р. Фонтанки, д. 113, лит. А
ЗАО «Валенс»;http://www.valens.su/;info@valens.ru;(812) 676-53-39  факс +78126765339;192029, Санкт-Петербург,  пр. Обуховской обороны, д. 86, литер К, помещение 2Н, офис 2-7а-С
"ООО ""СевЗапГеоГис""";;sevzapgeodeziya@bk.ru;7 (812) 440-94-65  +7 (812) 948-77-98;193318,г.Санкт-Петербург,  ул. Ворошилова д.2, оф 511,513
ООО «Энергосервис Проект»;;admin@es-proekt.com;89 214 366 536;196247, город Санкт-Петербург, площадь Конституции, дом 3, литер А, офис 809
"ООО ""Инжиниринговая компания ""ГеоСтройПроект""";;;;195027, Санкт-Петербург, ул. Магнитогорская, д.51, лит. Е
"ООО ""Кадастровое Бюро""";;ooo.kb.spb@mail.ru;+7(812)921-29-45;194021, г. Санкт-Петербург, пр. Тореза, дом 28 литер А, пом. 2-Н
"ООО ""АрмРус""";;armrus@armrus.org;+7(812)922-15-25;198516,Санкт-Петербург, г. Петергоф, Санкт-Петербургский пр. д.60 лит.А, офис 418
"ООО ""Геоцентр""";http://geocentrspb.ru/;geocentr05@mail.ru;(812) 363-48-64, (812) 363-48-69;"Санкт-Петербург, ул. Чугунная, дом 14, литер ""П"", оф. 302"
"ООО ""Гео Инженерные Изыскания""";;viktor_gii@mail.ru;"
";188643. Ленинградская обл., г. Всеволожск, ул. Заводская д.6 пом 501
"ООО ""ГеоТим""";;ant@geoteam.spb.ru;т. 9326996/ф.4387691;Санкт-Петербург, ул. Академика Павлова, д. 14а, лит. А, пом.26Н
"ООО ""ИГЛ ГеоПроект""";;p.lev@ya.ru;(812) 448-30-90;192102, г. Санкт-Петербург, Наб. реки Волковки, д. 9А
"ООО ""ПОЛИГОН""";http://www.poligongeo.ru/;poligongeo@mail.ru;(812)272-03-45  факс 273-97-42;Санкт-Петербург, Басков пер, д.7, офисный центр
ООО «ПГГК»;;info@pggk.ru;(812) 457-09-37;190031, Санкт-Петербург, Спасский пер., д. 14/35, лит. А, офис А406.
"ООО ""ЛКМ""";;lkmspb@yandex.ru;(812) 376-99-08;198216, Санкт-Петербург, пр. Народного Ополчения д.2
"ООО ""Геоприбор - Инженерные изыскания""";;ogi@geospb.ru;+7(812)3856364;197183,  г. Санкт - Петербург, ул. Сабировская, д. 37, пом.305
ООО «АРМАДА»;http://armadaii.ru/;info@armadaii.ru;995-90-25;191180, г. Санкт-Петербург, пер. Джамбула д. 21 оф. 15
"ООО ""Геодезия СПб""";http://geospb2004.ru/;geospb2004@mail.ru;+7 812 3365624, +79213502625;г. Санкт-Петербург, ул. Бумажная, дом 18
"ООО ""Геоиконика""";http://www.geoikonika.ru/;geoikonika@gmail.com;(812) 385-59-69;Санкт-Петербург, Петергоф, ул. Константиновская, д.8, литер А
"ООО ""Альфа-Морион""";;kulikova.n@gkmorion.ru;(812) 611-11-02;198097, Санкт-Петербург, ул. Возрождения, д.4, корп.2.
"ООО ""НПФ ПРИЗМА""";;pitergeo@bk.ru;(812) 4016530;196105, Санкт-Петербург, ул. Решетникова, 15
ОАО «ЛЕНМОРНИИПРОЕКТ»;;vmiheev@lmniip.spb.ru;8(812)7034010;198035, г.Санкт-Петербург, Межевой канал, д.3, корп.2
Изыскания-Дорсервис;http://i-dorservis.ru/;hitev@i-dorservis.ru;(812) 331-35-90;Санкт-Петербург, ул. Таллинская, д. 5 офис 406
"ООО ""КАД-КОПИ Сервис""";;mail@cadgeo.ru;(812)449-64-70;
"ООО ""ГЕОДЕЗИСТ""";;geodezist.tosno@mail.ru;8-81361-21093;Ленинградская обл. г.Тосно ул.Боярова д.16 офс.1
"ООО ""ГЕОДЕЗИЯ-СЕРВИС""";;gs13579@yandex.ru;(812)  6221194;198188, Санкт-Петербург, ул.Зайцева, д.41, оф.547
ЗАО «Петербург-Дорсервис»;;romanovs@dor.spb.ru;+7 (812) 325-91-62;195248 СПб ул.Бокситогорская д.9
"ООО ""Северо-западная тематическая комплексная экспедиция""";http://www.nwtke.ru/;nwtke@mail.ru, tke@nwtke.ru; 7 (812) 643-39-57;Санкт-Петербург, ул. Парадная, д.8
ООО «БАЗИС»;;mvn@benta.spb.ru;8 911 241-51-40;190121, г. Санкт-Петербург, наб. реки Пряжки, дом 32, пом.22
"ООО ""Центр экспертизы и проектирования строительных конструкций""";;gip@gip.su;79030950910;190005, г. Санкт-Петербург, измайловский пр.  Д.9/2, оф. 21
ООО «Вант-гео»;;vantgeo@mail.ru;8-911-214-17-74;г. Санкт-Петербург, пр. Энгельса, дом 58, 3 этаж, каб. 11
"ЗАО ""РЭСТА""";http://resta-geo.ru/;resta@front.ru;(812) 252-23-00, 715-75-14;Санкт - Петербург, ул. Балтийская, д.36/9, оф. 29
"ООО ""Гильдия Геодезистов""";http://ggspb.org;info@ggspb.org;+7 (812)456-29-91, +7(812)961-21-60;
"ООО ""ПрофСпецПроект""";;info@profspetcproekt.ru;(812) 332-54-34;196084, г. Санк-Петербург, ул.Рыбинская, д.5 лит.А, ком.100
"ООО ""ВИКО-ГЕО""";;Acroyd@mail.ru;8(81362) 46-424;Ленинградская область, Кировский р-н, г.Отрадное, ул.Гагарина, д.4
Инженерная компания АИС;;ais.spb2015@yandex.ru;"
";пр. Обуховской обороны, 86 А, оф. 519
"ООО ""Земельная коллегия""";;;;197198, Санкт-Петербург,  Ул. Воскова, д.12, лит. «А», пом. 2-Н
"ООО ""НПП ""ГЕОМАТИК""";;mail@geomatic.su;+7 (903) 096-57-37;196105, г. Санкт-Петербург, ул. Севастьянова, д. 12, лит. А, пом. 6-Н
"Производственный кооператив ""Универсал""";;sevzapgeo@mail.ru;(812) 347-56-86;197101, г.Санкт-Петербург, Каменноостровский пр., д.26-28, лит.А, пом.45Н
"ООО ""МОРИОН""";;kulikova.n@gkmorion.ru;(812) 611-11-02;198097, г.Санкт-Петербург, ул.Возрождения, дом 4, корп.2
"ООО ""ГЕОСТРОЙПРОЕКТ""";;geospr@mail.ru;(812) 943-56-03;198412, Санкт-Петербург, г.Ломоносов, Дворцовый проспект, д.22А, офисы 16 и 17
