Название;КПП;Сайт;Категория;ИНН;Почта;Адрес;Телефон;ОГРН
ООО Найс;781001001;reshield-it.ru/ ;Электромеханические заводы;7810508170;sale@reshield-it.ru;Москва, Дербеневская наб., д. 7;+7 (495) 988-64-74 ;1089850000000
Шаркан-Трикотаж, ЗАО;182801001;www.shartri.com ;Трикотажные фабрики;1822000213;shartfb@udmnet.ru;Удмуртская Рeспублика, с. Шaркaн, ул. Ленина, 51a;+7 (34136)33-4-77 ;1021800000000
Рускомтранс, ООО;524401001;ruscomtrans.ru ;Автомобильные заводы;5244015410;info@roskomtrans.ru;Балахна, ул. Первомайская, 32;+7 (831)296-11-77 ;1055210000000
"ЗАО ""МЕАНДР""";;meandr.ru ;Приборостроительные заводы;7803031136;info@meandr.ru;196240, город Санкт-Петербург, 5-й Предпортовый пр-д, д.1;+7 (800)100-4220 ;1027800000000
Русский Сезон, ООО;784101001;;Рукодельные мастерские;7804135508;7124650@mail.ru;Санкт-Петербург, Поварcкой пер., 3-12;8 (921)748-1120 ;1027800000000
Шоколатье, ООО;622601001;www.shokoladki.ru ;Кондитерские фабрики;5075026911;contactvk@vk.ru;Москва, ул. Верейская, 29, стр. 154;+7 (495)2114652 ;1145080000000
Сибирцевский щебеночный завод (СЩЗ) с. Черниговка;;;Комбинаты нерудных материалов;;;Приморский край, Черниговский р-н, 591 км + 500 м гос. трассы Хабаровск-Владивосток; (42351)20-9-60 ;
Наша Лестница, ООО;502901001;www.nasha-lestnica.ru ;Заводы металлоконструкций;5029173051;post@nasha-lestnica.ru;Московская область, Мытищи, ул. Коминтерна, д. 15А;+7 (495)720-64-15 ;1135030000000
Кормилица, ООО;231201001;;Консервные заводы;2312109350;ud.unex@ugrus.com;Краснодар, ул. Уральская, 95;;1042310000000
Олсиспорт СП, ООО;503501001;olcisport.ru ;Металлообрабатывающие заводы;5035027450;info@proizvedenie-sporta.com;Московская обл., д. Алферово, д. 180;+7 (495)133-76-16 ;1155040000000
Кондитерская фабрика Слайс Пенза;;;Кондитерские фабрики;;slice_opt@mail.ru;Пензенская область, Пенза, ул. Баумана, 30;;
Евроконтакт, ООО;700201001;;Кабельные заводы;7002015284;eurocontakt2016@gmail.com;Томская обл., г. Асино, ул. Боровая, д. 1/4;;1167030000000
Фабрика Производства Платков, ООО;772401001;www.fpp-trikotaj.ru ;Трикотажные фабрики;7724519731;fpp-trikotaj@bk.ru;Москва, Борисовский проезд, 17, корп. 1, стр. 2;+7 (917)594-66-55 ;1047800000000
ТМЗ Ресурс, ООО;713001001;www.tmzresurs.ru ;Механические заводы;7130030425;info@tmzresurs.ru;Тульская область, Тула, Алексинское шоссе, Промзона;+7 (4872)58-57-40 ;1167150000000
"Производственное Предприятие ""МС-Полимер"", ООО";667701001;ms-polimer.ru ;Заводы полимерных материалов и изделий;6628010379;info@ms-polimer.ru;Свердловская обл., г. Екатеринбург, ул. Блюхера, д. 88Ж, офис 318;+7 (34364)3-23-44 ;1026600000000
Корсун Андрей Владимирович, ИП;;karmy.su ;Производители бакалеи;10512499822;info@karmypet.ru;Респ. Адыгея, г. Майкоп, ул. Карла Маркса, д. 23;78005502468;309011000000000
Северная Столица Ломоносов;;www.sevstoliza.ru ;Кондитерские фабрики;;torg@sevstoliza.ru;Ленинградская область, Ломоносов, ул. Федюнинского, 2;7812324;
ИП Глазов Алексей Викторович;;www.termoroll.shop/ ;Целлюлозно-бумажные комбинаты;7,80E+11;termoroll@yandex.ru;Санкт-Петербург, тер. Горелово, ул. Заречная д. 2;79112551708;319785000000000
Зиосаб, ЗАО;503601001;www.ziosab.ru ;Котельные заводы;5036030939;info@ziosab.ru;Подольск, ул. Рощинская, 22;-1465;1025000000000
Долина, ООО;560701001;;Мясоперерабатывающие заводы;5607012944;ooo_mkdolina@mail.ru;Оренбургская область, Новотроицк, ул. Железнодорожная, 49;;1025600000000
Смирнов Владимир Сергеевич, ИП;;rival-44.com/ ;Котельные заводы;4,40E+11;rival44@mail.ru;Костромская обл., г. Кострома, ул. Московская, д. 84Б;+7 (930)320-21-60 ;308440000000000
Стаирс ПРОФИ, ООО;500701001;stremyanki.com ;Алюминиевые заводы;5007091750;zakaz@stairsp.ru;Московская область, Дмитров, ул. 2-я Левонабережная, д. 12;+7 (495)9737187 ;1145010000000
"Компания ""А-МЕГА Пак Холдинг"", ООО";772001001;www.amegapak.ru ;Целлюлозно-бумажные комбинаты;7720728903;megaalt2010@gmail.com;Московская область, Москва, ул. Первомайская, д. 32;7495807;1117750000000
РЗ ОЦМ, ПАО;668401001;rzocm.ru/ru/ ;Заводы черных металлов;6627000770;rzocm@rzocm.ru;Свердловская область, Ревда, ул. Карла Либкнехта, 1-в;+7 (34397)98-221 ;1026600000000
Технология, ООО;772301001;newhomogenizer.ru ;Механические заводы;7723384376;info@newhomogenizer.ru;Москва, Егорьевский проезд, 3А, стр.1;7800484;1157750000000
ПП Шэла, ООО;712801001;www.shela71.ru ;Электромеханические заводы;7128014313;shela@shela71.ru;Киреевск(Тульская область);+7 (48754)6-59-01 ;1027100000000
"Завод ""Ахтарский"" по Добыче и Переработке Кормовой Ракушки, ОАО";234701001;zavodaht.ru ;Обогатительные комбинаты (ГОК);2347011010;rakushka.ahtary@mail.ru;Приморско-Ахтарск, ул. Заводская, 1/4;+7 (861-43)2-14-34 ;1042330000000
Техногранит, ООО;745101001;www.tehnogranit.ru ;Кирпичные заводы;7453085936;tehnogranit@yandex.ru;Челябинская область, Челябинск, ул. Воровского, д. 65, оф. 3;-682;1037400000000
Счастливый Роман Александрович, ИП;;locktok.com ;Заводы металлоконструкций;7,11E+11;locktok@mail.ru;Тульская область, Тула, Веневское шоссе, д. 14;8 (800)775-8048 ;316715000000000
Глухов Илья Александрович, ИП;;www.maria-irk.ru ;Кондитерские фабрики;3,81E+11;504080@maria-irk.ru;Иркутская область, Иркутск, ул. Баррикад, 153;7395130;318385000000000
СОЭЗ, ООО;710701001;www.soeztula.ru ;Машиностроительные заводы;7107089766;info@soeztula.ru;Тульская область, Тула, п. Комсомольский, ул. Экспериментальная, 8; (4872)31-35-25 ;1057100000000
Бзстз, ОАО;712801001;bzstz.ru ;Заводы ЖБИ;7128003449;bzstz07@mail.ru;Тульская область, п. Стахановский;+7 (4872)70-48-50 ;1027100000000
Фирма Руслан, ООО;344201001;deltaboats.ru ;Заводы полимерных материалов и изделий;3442051906;info@deltaboats.ru;Волгоградская область, Волгоград, Возрождения, 14а;7844210;1023400000000
Воплощение, ООО;503601001;www.zavpo.ru ;Машиностроительные заводы;5036037814;voploschenie@mail.ru;Московская область, Подольск, Б.Серпуховская, д. 43;+7 (499)941-08-90 ;1025000000000
Vito с. Сновицы;;kovka33.ru ;Мастерские художественной ковки;;kovkavlad@mail.ru;Владимирская область, с. Сновицы, ул. Производственная зона, д. 1;+7 (920)920-06-01 ;
Пелком Дубна Машиностроительный Завод, ООО;501001001;pelcom.ru/ ;Машиностроительные заводы;5010025437;inbox@pelcom.ru;141980, Россия, Московская область, г. Дубна, ул. Дружбы, д. 25;+7 (495)777-07-41 ;1025000000000
Морозова Яна Вячеславовна, ИП;;igrocenter.pro/ ;Электромеханические заводы;5,25E+11;igrocenter@gmail.com;Нижегородская область, Дзержинск, ул. Бутлерова, 42а;+7 (987)757-16-55 ;320528000000000
Эко Газон Москва;;;Плодоовощные комбинаты;;eko-gazon@mail.ru;Московская обл., г. Москва, Балаклавский пр-т, д. 3;74954095660;
Маклей Технология, ООО;633001001;www.macley.ru ;Лакокрасочные заводы;6330094022;maximovmacley@yandex.ru;Самарская область, пгт Смышляевка, ул.Механиков, 9;7902221;1216300000000
Лагуна М, ООО;772301001;lagunam.ru ;Швейные фабрики;7743768941;info@lagunam.ru;Москва, ул. Иловайская, 2Б, офис 320;79257260017;1107750000000
Белгородский абразивный завод, ОАО;312301001;www.belabraziv.ru ;Абразивные заводы;3125008314;sale@belabraziv.ru;Белгородская область, Белгород, Михайловское шоссе, 2а; (4722)777-001 (отдел продаж);1023100000000
"ПК ""Русские Закуски"", ООО";500501001;;Производители бакалеи;5005063194;russiansnacks@gmail.com;Московская область, с. Барановское, ул. Центральная, д. 131;;1165010000000
Хлеб, ЗАО;695001001;www.hlebtver.ru ;Кондитерские фабрики;6900000558;secretar@hlebtver.ru;Тверская область, Тверь, пр-т Чайковского, 33;+7 (4822)34-66-16 ;1026900000000
Швецова Евгения Павловна, ИП;;www.bojiakorovka.ru ;Трикотажные фабрики;6,66E+11;ekb@bojiakorovka.ru;Екатеринбург, ул. Кислородная, 7, офис 25;+7 (343)38-292-35 ;310666000000000
Twist-ARchitecT Новосибирск;;www.twist-art.net/ ;Деревообрабатывающие комбинаты;;TwistArchitect@ya.ru;Новосибирская область, Новосибирск, Инская, д. 39;+7 (913)7297372 ;
Можайский Хлебозавод, ООО;502801001;mohzayhleb.webnode.com/ ;Хлебокомбинаты;5028035027;ooomhleb@mail.ru;Можайск, ул. Строителей, 18;+7 (49638)20-770 ;1185050000000
Смирнов Сергей Викторович, ИП;;alolika.su ;Трикотажные фабрики;5,41E+11;info@alolika.su;Новосибирск, ул. Сухарная, 35;-1781;304541000000000
Ваир, АО;502001001;vair.ru ;Заводы строительных материалов;5020020029;vair-klin@yandex.ru;Москва, проезд Черепановых, дом 10;+7 (495)543-81-99 ;1025000000000
Волга, АО;524401001;www.volga-paper.ru ;Целлюлозно-бумажные комбинаты;5244009279;info@volga-paper.ru;Нижегородская область, Балахна, ул. Горького, 1;+7 (83144)4-10-10 ;1025200000000
Тверской вагоностроительный завод (ТВЗ);;www.tvz.ru ;Вагоностроительные заводы;;dir@tvz.ru;Тверская область, Тверь, Петербургское шоссе, 45-б;+7 (4822)79-39-00 ;
Наш Город, ООО;504501001;;Производители бакалеи;5045049245;Commerce@ooo-nashgorod.ru;Московская обл., г. Ступино, ул. Загородная, д. 9/4, офис 1;8-916-409-46-41 ;1115050000000
Омега Пласт, ООО;771501001;omegaplast.ru ;Заводы полимерных материалов и изделий;7701376702;info@omegaplast.ru;Московская область, с. Бояркино;7494989;5137750000000
Комбинат Пряностей, ООО;540101001;www.levis-food.ru/ ;Производители безалкогольных напитков;5401983371;9261122111@mail.ru;143960, Московская область, г. Реутов, Заводская, д. 1;79262133434;1185480000000
Manzano Москва;;;Мебельные фабрики;;welcome@manzano.ru;Москва, Волгоградский проспект, 32, к2;8 495 668-09-64 ;
Вента, ООО;645401001;venta64.ru ;Машиностроительные заводы;6452132042;zakaz@venta64.ru;Саратовская область, Саратов, 1-я Садовая, 104;+7 (8452)34-56-85 ;1186450000000
Хорошая Тара Ростов-на-Дону;;;Заводы металлоконструкций;;krv@oktara.ru;Ростов-на-Дону, ул. Доватора, 150, оф. 225;9885108766;
"Завод ""Экран"", АО";540201001;;Стекольные заводы;5402100011;ecran@ecran.ru;Новосибирская обл., г. Новосибирск, ул. Даргомыжского, д. 8А;8 (383)363-37-70, 363-37-71 ;1025400000000
КАЗ-НЧ, ООО;165001001;kaznch.ru/ ;Арматурные заводы;1650384081;kaz-nch@mail.ru;Набережные Челны, пр. КАМАЗа, д. 10 (Бывшая ул. Техническая, д. 10); (8552)202-722 ;1191690000000
"ФСМ ""Ювелиры Урала"", ООО";667901001;juveliry-urala.ru/ ;Ювелирные заводы;6674195318;info@juveliry-urala.ru;Свердловская область, Екатеринбург, ул. 8 Марта, д.197;+7 (343)220-80-25 ;1069670000000
Пьезо, АО;771801001;;Электромеханические заводы;7718115603;mail@oaopiezo.com;Москва, ул. Буженинова, 16;8 (495)963-36-20 ;1027740000000
АРМЗ, ООО;668301001;www.armz.su ;Машиностроительные заводы;6603021700;sec@rmz.uralasbest.ru;Свердловская область, Асбест, ул. Заводская, 14;+7 (34365)44-612 ;1086600000000
Магнат-Плюс, ООО;746001001;www.magnat-plus.ru ;Химические заводы;7451094244;magnat_plus@bk.ru;Челябинская область, Челябинск, ул. Рождественского, д. 13;-85,99991017;1027400000000
Воронежпресс им. М.И.Калинина, ООО;366401001;www.kalinin36.ru ;Машиностроительные заводы;3664241270;;Воронеж, ул. Свободы, 75; (473)277-06-66, 276-98-99, 277-06-66,(473)252-43-59 (факс);1193670000000
Роботология, ООО;667101001;robotologia.ru ;Фабрики игрушек;6671047174;robotologia@yandex.ru;Свердловская область, Екатеринбург, Волгоградская, д. 193, офис 407;7650;1169660000000
Услада, ООО;634501001;www.uslada.com ;Кондитерские фабрики;6345008820;info@uslada.com;Самарская область, Жигулевск, ул. Морквашинская, 36;+7 (84862)72655 ;1036300000000
ООО «Авиапредприятие Урал-Дельта» ;744701001;ural-delta.ru/ ;Авиационные заводы;7451075918;ural-delta@mail.ru;Челябинск, ул. Молодогвардейцев, д. 64а;-1740;1027400000000
ЛУКойл-Волгограднефтепереработка, ООО;997250001;;Нефтеперерабатывающие заводы;3448017919;;Волгоград, ул. 40-лет ВЛКСМ, 55; (8442)96-35-99,(8442)96-34-58 (факс), 69-98-55 (факс);1023400000000
Экодом, ООО;780401001;www.ekologi.ru ;Машиностроительные заводы;7804594043;info@ekologi.ru;Орловская область, Орел, ул. Наугорское ш., 5;+7 (4862)49-84-09 ;1177850000000
Фотожалюзи Мастерская Челябинск;;www.photojalousie.ru ;Рукодельные мастерские;;photojalousie@yandex.ru;Челябинск, ул. Карпенко, 5А, оф. 4; (351)235-71-72 ;
Стройдеталь, ЗАО;402401001;www.s-detal.ru ;Заводы ЖБИ;4024000046;stroydetals@yandex.ru;Людиново, ул. Пролетарская, 143;+7 (48444)5-04-17 ;1024000000000
ООО АВС-пром;;abc-prom.ru ;Заводы спецтехники;7415099279;sveta2492@mail.ru;Динамовское шоссе, д. 2, офис 302;79517994395;1177460000000
ООО Русмаш;;izhevsk.nporusgidro.com ;Насосные заводы;6678090130;zakaz@nporusgidro.com ;426011, Удмуртская Республика, г. Ижевск, ул. Карла Маркса, 287;8 (800) 350-77-10 ;1186660000000
"ТД ""ЗДИ"", ООО";772301001;zdi-m.ru/ ;Заводы строительных материалов;9723041894;kurbatova@zdi-m.ru;115088, г. Москва, 2-й Южнопортовый проезд, 26А;8 (495)958 96 95 ;1187750000000
Тимтекс, ООО;370201001;eva-kristi.ru ;Швейные фабрики;3702203776;timtex1@mail.ru;Московская область, Москва, Боровая, д. 7, стр.4 офис 64;8 (499)4060054 ;1183700000000
Завод металлоконструкций ГК СПМК Рязань;;;Заводы металлоконструкций;;market@spmk.group;Рязань, ул. Станкозаводская, 7;78002507697;
Нкси, ООО;503101001;estima.ru/ ;Заводы строительных материалов;5031037779;salon-msk@estima.ru;Ногинск, Бетонная ул., 1;+7 (495)775-60-40 ;1025000000000
"АО ""ВЕС-СЕРВИС""";781401001;vesservice.com/ ;Машиностроительные заводы;7814099626;msale@vesservice.com;197374, г. Санкт-Петербург, ул. Оптиков, д.4, лит. А, помещение 11-Н;8-800-775-84-02 ;1027810000000
ТПК БРИК, ООО;631801001;tpkbrik.ru ;Механические заводы;6318241432;info@tpkbrik.ru;Самарская обл., г. Самара, пр-д Мальцева, д. 7;7846150;1146320000000
Хохломская Роспись, АО;522801001;goldenhohloma.com ;Фабрики игрушек;5228001113;zaox.priemnaia@yandex.ru;Нижегородская обл., г. Семенов, ул. Чкалова, д. 18;78005507831;1025200000000
Афз-ПК, ООО;550101001;www.afzomsk.com ;Арматурные заводы;5501241334;office@afzomsk.com;Омская область, Омск, ул. Центральная, 33;+7 (3812)55-00-60 ;1125540000000
Прамотроник, ЗАО;774301001;www.pramotronic.ru/contacts/lrz/ ;Заводы металлоконструкций;7718719852;info@lrz.pramotronic.ru;Лихославль, ул. Лихославльская, 1;+7 (48261)3-53-06 ;5087750000000
ПЭМИ, ОАО;616501001;td-pemi.ru ;Кабельные заводы;6165007810;zavod@td-pemi.ru;Ростов-на-Дону, ул. Нансена, 87;+7 (863)232-12-58 ;1026100000000
Вологодские Машины, ООО;352501001;vologdamash.ru/ ;Заводы спецтехники;3525232448;o.agametova@vologdamash.ru;Вологда, ул. Маяковского, д. 38, c. 1;8 (800)234 55 01 ;1093530000000
"По ""Гормаш"", ООО";421101001;www.gormash.com ;Машиностроительные заводы;4211018050;sbt-gorm@mail.ru;Киселевск, ул. Гормашевская, 6;;1054210000000
Экстра М, ОАО;771801001;www.dececcorussia.com ;Крупяные заводы;7718083616;info@dececcorussia.com;Московская область, Москва, ул. 3-я Рыбинская, д. 22;+7 (495)231-29-29 ;1027700000000
Фортуна, ООО;732801001;fortuna73.ru ;Мебельные фабрики;7328076081;fortuna173@bk.ru;Ульяновская область, пгт. Чердаклы, ул. Курчатова, 14;+7 (937)035-66-56 ;1137330000000
Птицефабрика Бердская, ООО;544501001;бердская-пф.рф ;Мясоперерабатывающие заводы;5445102976;bpf@ngs.ru;Новосибирская область, Бердск, Промышленная, 38;383)325-31-41 ;1025400000000
Альфа-КАП, ООО;783901001;plasttec.ru ;Заводы полимерных материалов и изделий;7839035092;info@plasttec.ru;Санкт-Петербург, Набережная Обводного канала, д. 134-136, корп. 266, офис 306;+8 (800)777-40-56 ;1157850000000
Гзоцм, ООО;632401001;gzocm.ru/ ;Заводы цветных металлов;6324089842;mailbox@gzocm.ru;462630, Оренбургская область, г. Гай, Технологический проезд 18;+7 (3536)26-90-00 (приемная завода), 8 800 250-50-39 (отдел продаж);1186310000000
Кросс››, ООО;910201001;крымстройматериалы.рф ;Заводы полимерных материалов и изделий;9102028072;firma.kross@bk.ru;Республика Крым, Симферополь, Бородина, 14;+7 (978)9600700 ;1149100000000
Умница, ООО;744801001;www.umnitsa.ru ;Фабрики игрушек;7448088480;umnitsa@umnitsa.ru;Челябинская обл., г. Челябинск, ул. Молодогвардейцев, д. 7, корпус 5, офис 11;-1412;1077450000000
"Мясокомбинат ""Олимпия"", ООО";262501001;www.mk-olimp.ru/ ;Мясоперерабатывающие заводы;2625028300;olimpiya@mk-olimp.ru;Ставропольский край, Георгиевск, Октябрьская, д. 143/9;78795174415;1022600000000
Рссервис, ООО;165901001;rs-kzn.ru/ ;Энергетическое машиностроение;1659048327;sales@rs-kzn.ru;Лобненская, 18;78002505994;1031630000000
Тмим, ООО;163901001;www.tmim.ru ;Механические заводы;1651005272;info@tmim.ru;Республика Татарстан, д. Новый Мусабай, ул. Лесная, д. 1А;+7 (8555)42-31-31 ;1021600000000
Чайник, ООО;771801001;teapot.su ;Фабрики игрушек;7723657658;lovefarfor@list.ru;Московская обл., г. Москва, Волгоградский пр-т, д. 32, корпус 33;+7 (915)465-48-92 ;1087750000000
Рязань ХимСинтез;;;Химические заводы;;romanrzn@ya.ru;Рязанская область, Рязань, Куйбышевское шоссе, д. 29;;
Завод Электропульт, АО;780601001;electropult.ru/ ;Трансформаторные заводы;7806008569;ep@electropult.ru;Санкт-Петербург, ул. Электропультовцев, д. 7;+7 (812)603-22-35 ;1027800000000
СИ Айрлайд, ООО;745201001;;Заводы полимерных материалов и изделий;7451191576;info@airlaid.ru;Челябинск, ул. Бродокалмакский тракт, 6А;8 (351)211-03-00 ;1037400000000
Восцемент, ООО;500501001;cemtown.ru ;Заводы строительных материалов;5005064590;;Воскресенск, ул. Первостроителей, 2; (496)442-21-55, 442-76-84 ;1175020000000
Патрина Гоар Гербертовна, ИП;;cotton-line.ru ;Текстильные фабрики;7,72E+11;cotton-line@yandex.ru;Москва, ул. Маршала Конева, д. 8, кор 1;7499250;315775000000000
Вынгапуровский газоперерабатывающий завод Москва;;www.sibur.ru/ru/ ;Газоперерабатывающие заводы;;info@sibur.ru;Москва, ул. Кржижановского, 16/1;+7 (495)777-55-00 ;
Борисов Денис Владимирович, ИП;;med-elita.ru ;Медицинские заводы;3,70E+11;info@med-elita.ru;Ивановская область, Иваново, ул. Жиделева, 21;+7 (499)130-28-35 ;308370000000000
Торговый ДОМ Альянс-Трейд, ООО;502901001;www.cwc60.ru/ ;Машиностроительные заводы;7719074163;sales@cwc60.ru;Псковская область, Великие Луки, Малышева, д. 11;+7 (911)366-05-41 ;1147750000000
Аврора Новосибирск;;;Мебельные фабрики;;nsk-avrora@mail.ru;Новосибирская область, Новосибирск, пер. 2-ой Экскаваторный, д. 29в;8 (383)341-60-19 ;
УРАЛ Лэд, ООО;667101001;uralled.ru ;Светотехнические заводы;6658355701;sale@uralled.ru;Свердловская область, Екатеринбург, ул. 8 Марта, д. 26;7343219;1106660000000
МЗП, АО;772401001;mzp.ru/ ;Заводы цветных металлов;7724558466;mzp@mzp.ru;Москва, Каширское шоссе, дом 49;+7 (495)995-55-05 ;1057750000000
Электротяга, АО;780501001;www.gidropribor.ru/about/departments/electrotyaga.html ;Аккумуляторные заводы;7805230257;contact@aoelectrotyaga.ru;Санкт-Петербург, ул. Калинина, 50А; (812)786-32-19 ;1027800000000
Декатерм, ООО;645301001;dekaterm.ru/ ;Энергетическое машиностроение;6453157201;dekaterm@yandex.ru;Саратов, ул. Песчано-Уметская, 43;+7 (8452)52-99-11 ;1186450000000
Гадельшин Рустам Фанусович, ИП;;;Заводы РТИ;27807372901;lodka2.ru@mail.ru;Республика Башкортостан, Уфа, улица Пугачева, 300/1;8 (347)274-47-05 ;308027000000000
Вторресурс-Переработка, ООО;421701001;www.sgmkgroup.ru/making/industrial/sgmkv/outline/ ;Мусороперерабатывающие заводы;4217126359;info@sgmk-group.ru;Кемеровская область, г. Новокузнецк, пл. Побед, д. 1 корп. 233;+7 (3843)74-90-58 ;1104220000000
Декарт, ЗАО;504701001;www.dekart.ru ;Лакокрасочные заводы;7717107350;shop@dekart.ru;Московская область, Химки, Ленинградская ул., вл. 31;7499358;1037740000000
МККИТ Москва;;;Кондитерские фабрики;;comotdel@mkkit.ru;Москва, ул. Таллинская, д. 14;8 (495)746 86 86 ;
Маз, ООО (Офис);771801001;www.abraziv.su ;Абразивные заводы;9718083465;sales@mosabraziv.ru;Москва, Черницынский проезд, 3; (495)647-00-56 ;5177750000000
Опытное кирпичное производство Партнер Аксай;;aksay-kirpich.narod.ru/ ;Кирпичные заводы;;aksay-kirpich@narod.ru;Аксай, ул. Ленина, 42А;+7 (863-2)-58-19-21 ;
ООО «Монолит 74»;;74monolit.ru ;Заводы ЖБИ;7404067780;www-74monolit.ru@yandex.ru;г. Златоуст, ул. 5-я Нижнее-Вокзальная 54;78007072680;1167460000000
Беловский Энергоремзавод, ОАО;420201001;www.berz.ru ;Ремонтные заводы;4202000554;office@berz.ru;Белово, ул. 1-й Телеут, 1;+7 (38452)3-87-19 ;1024200000000
"СЗ ""МОРЕ"", АО";910801001;moreship.ru/main/ ;Судостроительные заводы;9108124167;office@moreship.ru;Республика Крым, пгт. Приморский, ул. Десантников, 1;+7 (36562)29-3-22 ;1199110000000
Кемеровская Фармацевтическая Фабрика, АО;420501001;kff.farm ;Фармацевтические фабрики;4200000365;rita.kff@mail.ru;Кемеровская область, Кемерово, пр. Кузнецкий, 121;+7 (3842)57-02-52 ;1024200000000
Наклейки на авто к 9 мая Курск;;;Заводы полимерных материалов и изделий;;79207377977@yandex.ru;Курская область, Курск, Литовская, 12а;8 (920)737-79-77 ;
"ПК ""Палада"", ООО";771001001;laquale.com ;Химические заводы;9710030944;office@laquale.com;Московская область, Раменское, ул. Карла Маркса, 5;7495673;1177750000000
Центр Транспортных Систем Кемерово;;;Механические заводы;;korvyakov@trsystem.ru;Кемеровская область, Кемерово, ул. Шахтерская 2а;89050651070;
Ингри, ООО;771601001;www.ingri.ru ;Заводы строительных материалов;7716565004;msk@ingri.ru;Московская область, Мытищи, Проезд 4529, вл. 5, стр. 1;+7 (495)308-02-92 ;1067760000000
Юлана, ООО;773501001;;Химические заводы;5047175735;ulana@millid.ru;Московская область, Зеленоград, 4807-й проезд, д. 3, стр. 7, эт. 1, пом. 4, ком. 50;8 (499)390-98-35 ;1155050000000
Интер Мода, ООО;332801001;inter-moda.ru ;Швейные фабрики;3328421140;inter-moda538329@yandex.ru;Владимирская область, Владимир, ул. Тракторная, д. 1В;+7 (4922)53-83-29 ;1033300000000
"Анк ""Башнефть"", ПАО";27501001;;Нефтеперерабатывающие заводы;274051582;;Республика Башкортостан, Уфа, ул. Мира, 14; (347)269-80-88,(347)235-82-51 (отдел кадров);1020200000000
Металлмаркет, ООО;365101001;mmsportpark.ru ;Заводы металлоконструкций;3651007153;info@mmsportpark.ru;Воронежская обл., г. Нововоронеж, Заводской пр-д, д. 6Г, офис 3;+7 (920)4444416 ;1153670000000
УРАЛ Пента, ООО;744701001;;Химические заводы;7447254150;696877@mail.ru;Челябинск, ул. Героев Танкограда, 33П;8 351 900-09-01 ;1157460000000
Росттэк, ООО;772401001;rosttek.ru ;Механические заводы;7724350210;info@rosttek.ru;Московская обл., г. Москва, Каширское ш., д. 59, корпус 2, офис 352;7494942;1167750000000
