Название;Номер телефона;Адрес;Категория
Московский проектный институт АО «ГСПИ»;+7 (495) 988-80-50;115088, г. Москва,ул. Шарикоподшипниковская, д.4 корп.1;Институты
"Дальневосточный проектный институт ОАО ""Дальгипротранс"""; (4212)33-15-20;г. Хабаровск, ул. Шеронова, д. 56;Институты
Московский проектный институт ОАО МНИИТЭП; +7 (495) 276-00-33 доб. 6229;Канцелярия+7 (495) 623-61-38 (факс);Институты
Московский проектный институт ФГУП «РОСДОРНИИ»;+7 (499)759-41-09;Москва, 125493, ул. Смольная, д. 2;Институты
Московский проектный институт ЗАО «ЦНИИПСК им. Мельникова»; +7 (495) 660-79-40;;Институты
Московский проектный институт ООО «ПИ-2»;+7 (495) 644-02-00 (1344);;Институты
Московский проектный институт Группа компаний «ГИАП»; +7(495)916-63-00;;Институты
"Уфимский проектный институт ЗАО НИПИ ""ОмЗМ-ПРОЕКТ"""; 8 (381) 239-62-64;г. Уфа, ул. 8 Марта, д. 34,;Институты
"Московский проектный институт АО ""Оргэнергострой""";00;123100, РФ, г.Москва,ММДЦ «Москва-Сити», Пресненская наб., д. 12,Комплекс «Федерация», Башня «А» (Восток), 43 этаж;Институты
"Уральский проектный институт ОАО ""РосНИТИ"""; +7 (351) 225-02-22, доб. 8802;;Институты
Московский проектный институт  АО «Мосметропроект»;8(495) 730-12-85;;Институты
Московский проектный институт ООО ЦНИПИ «СТАРК»;+7 (495) 642-84-41;г. Москва, Варшавское шоссе, д. 125Ж, корп. 6;Институты
Московский проектный институт ООО «Институт Гипроникель»;Телефон8 (486) 243-33-26; г. Москва, Смольная ул., 2;Институты
Московский проектный институт ОАО НИПИИ «Кировпроект»; (8332) 57-99-77;;Институты
Московский проектный институт ФГУП «ПИ»;8 (495) 232-22-32;;Институты
"Чебоксарский проектный институт ФГУП ""РНЦ “Прикладная химия”";+7 (8352) 58-04-40;г. Чебоксары,Московский пр. д.3;Институты
"Московский проектный институт ""БСАЦ ""ГСС""";+7 (498) 683‒25‒25;;Институты
Сибирский проектный институт «Сибпроектэлектро»; (383) 346-53-73;;Институты
Уральский проектный институт ОАО «Уралгипромез»; (343) 375-69-63;;Институты
Московский проектный институт ООО «ИНСТРОЙПРОЕКТ»;+7 (495) 645-47-26, доб.5434;;Институты
"Московский проектный институт ОАО ""Метрогипротранс""";+7(495) 953-46-11 факс +7(495) 953-40-04;;Институты
"Санкт-Петербургский проектный институт ФГУП ""РНЦ “Прикладная химия”";+7 812 647-92-77,+7 812 647-92-57;г.Санкт-Петербургский,Заводская ул., 3, п. г. т. Кузьмоловский (площадка Капитолово );Институты
Санкт-Петербургский проектный институт ОАО «Институт «Гипростекло»;+7 812 334-24-80,+7 812 334-24-82;г.Санкт-Петербург (БЦ Механобр),22-я линия Васильевского острова, 3, корп. 1,;Институты
Московский проектный институт АО «ЦНИИПромзданий»; +7 495 482-45-06;Г. МОСКВА, ДМИТРОВСКОЕ ШОССЕ, Д. 46, КОРП.2;Институты
